seed,scenario,strategy,jobs,success_rate,stranded,duplicate_generations,total_cost,cost_per_1k_success,retry_amplification,p50_completion_s,p95_completion_s,p99_completion_s,window_jobs,window_success_rate,window_p50_completion_s,window_p95_completion_s,window_p99_completion_s
22,baseline,sync_gateway,557,0.9640933572710951,0,0,558.1999999999999,1039.4785847299813,1.0053859964093357,78.17712112564914,167.95736585138246,263.9010159836812,,,,,
23,baseline,sync_gateway,534,0.9625468164794008,0,0,534.4,1039.6887159533073,1.0018726591760299,73.425858225262,164.136642361334,242.69846420287638,,,,,
24,baseline,sync_gateway,568,0.9665492957746479,0,0,571.4,1040.8014571948997,1.0140845070422535,74.68251868714196,162.083944878088,226.45777094493928,,,,,
25,baseline,sync_gateway,535,0.9775700934579439,0,0,538.5999999999999,1029.8279158699809,1.016822429906542,78.90616214527427,179.18281840017346,238.73673181988806,,,,,
26,baseline,sync_gateway,502,0.9561752988047809,0,0,505.19999999999993,1052.4999999999998,1.0159362549800797,75.33196658625593,172.0646151650742,236.50971723409089,,,,,
27,baseline,sync_gateway,542,0.959409594095941,0,0,543.8,1045.7692307692307,1.007380073800738,74.59022219054714,168.03436092081543,243.3633947993726,,,,,
28,baseline,sync_gateway,524,0.9866412213740458,0,0,525.5999999999999,1016.6344294003866,1.0076335877862594,74.42235849701046,170.47325711529993,241.81219232725562,,,,,
29,baseline,sync_gateway,535,0.9626168224299065,0,0,536.5999999999999,1041.9417475728155,1.0074766355140188,74.15467450653559,171.9053105958128,243.60686344470923,,,,,
30,baseline,sync_gateway,512,0.96484375,0,0,514.8,1042.1052631578946,1.013671875,75.81924348392374,172.11426880348108,284.7166507808727,,,,,
1,baseline,durable_workflow,513,1.0,0,0,544.5999999999997,1061.5984405458082,1.0526315789473684,74.937295598638,182.080787967248,272.9041987934047,,,,,
2,baseline,durable_workflow,540,1.0,0,0,571.1999999999997,1057.7777777777774,1.048148148148148,79.40747309869266,186.53895478108734,246.76009239712516,,,,,
3,baseline,durable_workflow,526,1.0,0,0,544.7999999999997,1035.7414448669194,1.032319391634981,76.37154679709818,169.29842677814122,249.26935728574045,,,,,
4,baseline,durable_workflow,549,1.0,0,0,569.5999999999999,1037.5227686703095,1.034608378870674,77.22890197949712,182.4318940661933,258.21929780177334,,,,,
5,baseline,durable_workflow,522,1.0,0,0,550.1999999999997,1054.0229885057465,1.0459770114942528,77.04817817739013,200.90214580884037,271.3752192959189,,,,,
6,baseline,durable_workflow,563,1.0,0,0,598.5999999999997,1063.23268206039,1.0497335701598578,77.81494742423848,203.24367827988817,286.9229030688484,,,,,
7,baseline,durable_workflow,540,1.0,0,0,556.9999999999998,1031.481481481481,1.0277777777777777,73.85051266852496,180.98423620743233,283.29119035426356,,,,,
8,baseline,durable_workflow,545,1.0,0,0,573.9999999999998,1053.2110091743114,1.0477064220183485,77.3750450321802,176.97449358575477,253.1356002764296,,,,,
9,baseline,durable_workflow,595,1.0,0,0,630.1999999999996,1059.1596638655456,1.0470588235294118,82.79131649745068,183.5943725786169,254.03933418564566,,,,,
10,baseline,durable_workflow,518,1.0,0,0,540.7999999999997,1044.0154440154433,1.0424710424710424,76.13324136399547,189.82651235807134,249.22864943186005,,,,,
11,baseline,durable_workflow,542,1.0,0,0,572.5999999999998,1056.4575645756454,1.0461254612546125,75.29825794022236,169.24717091364192,321.7962578718217,,,,,
12,baseline,durable_workflow,501,1.0,0,0,530.5999999999997,1059.0818363273447,1.0479041916167664,76.5553096095673,200.19279702557037,278.825130448103,,,,,
13,baseline,durable_workflow,540,1.0,0,0,557.1999999999999,1031.8518518518517,1.0333333333333334,78.23925264631782,180.91470059150674,246.74344763184467,,,,,
14,baseline,durable_workflow,548,1.0,0,0,570.5999999999998,1041.2408759124082,1.0383211678832116,81.58278793098043,193.7140811063614,282.42899559728403,,,,,
15,baseline,durable_workflow,574,1.0,0,0,602.9999999999997,1050.5226480836232,1.0452961672473868,78.84975227623727,189.7557381106517,286.1875256025128,,,,,
